Character,Devil Fruit,Class,Subclass,Awakened,Status
Marshall D. Teach,Gura Gura No Mi,Paramecia,Regular Paramecia,No,Consumed
Marshall D. Teach,Yami Yami No Mi,Logia,Regular Logia,No,Consumed
Absalom,Suke Suke No Mi,Paramecia,Regular Paramecia,No,Re-Consumed
Alpacaman,Alpaca Smile,Smile,Artificial Zoan,No,Consumed
Alvida,Sube Sube No Mi,Paramecia,Regular Paramecia,No,Consumed
Artur Bacca,Dero Dero No Mi,Paramecia,Regular Paramecia,No,Consumed
Babanuki,Elephant SMILE,SMILE,Artificial Zoan,No,Consumed
Baby 5,Buki Buki No Mi,Paramecia,Regular Paramecia,No,Consumed
Bartholomew Kuma,Nikyu Nikyu No Mi,Paramecia,Regular Paramecia,No,Consumed
Bartolomeo,Bari Bari No Mi,Paramecia,Regular Paramecia,No,Consumed
Basil Hawkins,Wara Wara No Mi,Paramecia,Regular Paramecia,No,Consumed
Batman,Bat SMILE,SMILE,Artificial Zoan,No,Consumed
Bear gifter (chapter 943),Bear SMILE,SMILE,Artificial Zoan,No,Consumed
Bellamy,Bane Bane No Mi,Paramecia,Regular Paramecia,No,Consumed
Belo Betty,Kobu Kobu No Mi,Paramecia,Regular Paramecia,No,Consumed
Bentham,Mane Mane No Mi,Paramecia,Regular Paramecia,No,Consumed
Bian,"Mushi Mushi No Mi, Model: Suzumebachi",Zoan,Regular Zoan,No,Consumed
Blamenco,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Blueno,Doa Doa No Mi,Paramecia,Regular Paramecia,No,Consumed
Boa Hancock,Mero Mero No Mi,Paramecia,Regular Paramecia,No,Consumed
Boa Marigold,"Hebi Hebi No Mi, Model: King Cobra",Zoan,Regular Zoan,No,Consumed
Boa Sandersonia,"Hebi Hebi No Mi, Model: Anaconda",Zoan,Regular Zoan,No,Consumed
Borsalino,Pika Pika No Mi,Logia,Regular Logia,No,Consumed
Brook,Yomi Yomi No Mi,Paramecia,Regular Paramecia,No,Consumed
Buffalo,Guru Guru No Mi,Paramecia,Regular Paramecia,No,Consumed
Buggy,Bara Bara No Mi,Paramecia,Regular Paramecia,No,Consumed
Bull gifter (chapter 943),Bull SMILE,SMILE,Artificial Zoan,No,Consumed
Bunbuku,"Inu Inu No Mi, Model: Tanuki",Zoan,Regular Zoan,No,Consumed
Caesar Clown,Gasu Gasu No Mi,Logia,Regular Logia,No,Consumed
Capone Bege,Shiro Shiro No Mi,Paramecia,Regular Paramecia,No,Consumed
Caribou,Numa Numa No Mi,Logia,Regular Logia,No,Consumed
Carmel,Soru Soru No Mi,Paramecia,Regular Paramecia,No,Re-Consumed
Catarina Devon,"Inu Inu No Mi, Model: Kyubi",Zoan,Mythical Zoan,No,Consumed
Chaka,"Inu Inu No Mi, Model: Jackal",Zoan,Regular Zoan,No,Consumed
Charlotte Brûlée,Mira Mira No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Cracker,Bisu Bisu No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Daifuku,Hoya Hoya No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Galette,Bata Bata No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Katakuri,Mochi Mochi No Mi,Paramecia,Special Paramecia,Yes,Consumed
Charlotte Linlin,Soru Soru No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Mont-d'Or,Buku Buku No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Newshi,Gocha Gocha No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Opera,Kuri Kuri No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Oven,Netsu Netsu No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Perospero,Pero Pero No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Pudding,Memo Memo No Mi,Paramecia,Regular Paramecia,No,Consumed
Charlotte Smoothie,Shibo Shibo No Mi,Paramecia,Regular Paramecia,No,Consumed
Crab gifter (chapter 808),Crab Smile,Smile,Artificial Zoan,No,Consumed
Crab gifter (chapter 935),Crab Smile,Smile,Artificial Zoan,No,Consumed
Crocodile gifter (chapter 943),Crocodile Smile,Smile,Artificial Zoan,No,Consumed
Crocodile,Suna Suna No Mi,Logia,Regular Logia,No,Consumed
Daifugo,Scorpion Smile,Smile,Artificial Zoan,No,Consumed
Dalmatian,(unnamed),Zoan,Regular Zoan,No,Consumed
Dalton,"Ushi Ushi No Mi, Model: Bison",Zoan,Regular Zoan,No,Consumed
Daz Bones,Supa Supa No Mi,Paramecia,Regular Paramecia,No,Consumed
Diamante,Hira Hira No Mi,Paramecia,Regular Paramecia,No,Consumed
Dobon,Hippo SMILE,SMILE,Artificial Zoan,No,Consumed
Donquixote Doflamingo,Ito Ito No Mi,Paramecia,Regular Paramecia,Yes,Consumed
Donquixote Rosinante,Nagi Nagi No Mi,Paramecia,Regular Paramecia,No,Free
Drophy,Mogu Mogu No Mi,Zoan,Regular Zoan,No,Consumed
Edward Newgate,Gura Gura No Mi,Paramecia,Regular Paramecia,No,Re-Consumed
Elephant gifter (chapter 943),Elephant SMILE,SMILE,Artificial Zoan,No,Consumed
Emporio Ivankov,Horu Horu No Mi,Paramecia,Regular Paramecia,No,Consumed
Enel,Goro Goro No Mi,Logia,Regular Logia,No,Consumed
Epoida,(unnamed),Zoan,Regular Zoan,No,Consumed
Eustass Kid,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Foxy,Noro Noro No Mi,Paramecia,Regular Paramecia,No,Consumed
Funkfreed,Zou Zou No Mi,Zoan,Regular Zoan,No,Consumed
Galdino,Doru Doru No Mi,Paramecia,Regular Paramecia,No,Consumed
Gazelleman,Gazelle SMILE,SMILE,Artificial Zoan,No,Consumed
Gecko Moria,Kage Kage No Mi,Paramecia,Regular Paramecia,No,Consumed
Gem,Bomu Bomu No Mi,Paramecia,Regular Paramecia,No,Consumed
Ginrummy,(unnamed),SMILE,Artificial Zoan,No,Consumed
Giolla,Ato Ato No Mi,Paramecia,Regular Paramecia,No,Consumed
Giraffe gifter (chapter 943),Giraffe Smile,Smile,Artificial Zoan,No,Consumed
Gladius,Pamu Pamu No Mi,Paramecia,Regular Paramecia,No,Consumed
Gorila gifter (chapter 810),Gorilla Smile,Smile,Artificial Zoan,No,Consumed
Gorila gifter (chapter 949),Gorilla Smile,Smile,Artificial Zoan,No,Consumed
Han,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Hina,Ori Ori No Mi,Paramecia,Regular Paramecia,No,Consumed
Holdem,Lion SMILE,SMILE,Artificial Zoan,No,Consumed
Horse gifter (chapter 942) #1,Horse Smile,Smile,Artificial Zoan,No,Consumed
Horse gifter (chapter 942) #2,Horse Smile,Smile,Artificial Zoan,No,Consumed
Horse gifter (chapter 942) #3,Horse Smile,Smile,Artificial Zoan,No,Consumed
Horse gifter (chapter 942) #4,Horse Smile,Smile,Artificial Zoan,No,Consumed
Inazuma,Choki Choki No Mi,Paramecia,Regular Paramecia,No,Consumed
Issho,Zushi Zushi No Mi,Paramecia,Regular Paramecia,No,Consumed
Jabra,"Inu Inu No Mi, Model: Wolf",Zoan,Regular Zoan,No,Consumed
Jack,"Zou Zou No Mi, Model: Mammoth",Zoan,Ancient Zoan,No,Consumed
Jewelry Bonney,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Jozu,Kira Kira No Mi,Paramecia,Regular Paramecia,No,Consumed
Kabu,"Mushi Mushi nNoo Mi, Model: Kabutomushi",Zoan,Regular Zoan,No,Consumed
Kaido,(unnamed),Zoan,Mythical Zoan,No,Consumed
Kaku,"Ushi Ushi No Mi, Model: Giraffe",Zoan,Regular Zoan,No,Consumed
Kalifa,Awa Awa No Mi,Paramecia,Regular Paramecia,No,Consumed
Kanjuro,(unnamed),Paramecia,Regular Paramecia,No,Consumed
Karasu,(unnamed),(undetermined),(undetermined),No,Consumed
Kelly Funk,Jake Jake No Mi,Paramecia,Regular Paramecia,No,Consumed
Killer,(unnamed),Failed SMILE,Failed Artificial Zoan,No,Consumed
Kin'emon,Fuku Fuku No Mi,Paramecia,Regular Paramecia,No,Consumed
King,"Ryu Ryu No Mi, Model: Pteranodon",Zoan,Ancient Zoan,No,Consumed
Kozuki Momonosuke,(unnamed),SMILE,Artificial Zoan,No,Consumed
Kozuki Toki,Toki Toki No Mi,Paramecia,Regular Paramecia,No,Free
Kurozumi Orochi,"Hebi Hebi No Mi, Model: Yamata no Orochi",Zoan,Mythical Zoan,No,Consumed
Kuzan,Hie Hie No Mi,Logia,Regular Logia,No,Consumed
Laffitte,(unnamed),(undetermined),(undetermined),No,Consumed
Lassoo,"Inu Inu No Mi, Model: Dachshund",Zoan,Regular Zoan,No,Consumed
Leo,Nui Nui No Mi,Paramecia,Regular Paramecia,No,Consumed
Lynx gifter (chapter 943),Lynx SMILE,SMILE,Artificial Zoan,No,Consumed
Machvise,Ton Ton No Mi,Paramecia,Regular Paramecia,No,Consumed
Madilloman,Armadillo SMILE,SMILE,Artificial Zoan,No,Consumed
Magellan,Doku Doku No Mi,Paramecia,Regular Paramecia,No,Consumed
Mansherry,Chiyu Chiyu No Mi,Paramecia,Regular Paramecia,No,Consumed
Marco,"Tori Tori No Mi, Model Phoenix",Zoan,Mythical Zoan,No,Consumed
Mikita,Kilo Kilo No Mi,Paramecia,Regular Paramecia,No,Consumed
Minochihuahua,(unnamed),Zoan,Regular Zoan,Yes,Consumed
Minokoala,(unnamed),Zoan,Regular Zoan,Yes,Consumed
Minorhinoceros,(unnamed),Zoan,Regular Zoan,Yes,Consumed
Minotaurus,(unnamed),Zoan,Regular Zoan,Yes,Consumed
Minozebra,(unnamed),Zoan,Regular Zoan,Yes,Consumed
Monet,Yuki Yuki No Mi,Logia,Regular Logia,No,Free
Monkey D. Luffy,Gomu Gomu No Mi,Paramecia,Regular Paramecia,No,Consumed
Morgans,"Tori Tori No Mi, Model: Albatross",Zoan,Regular Zoan,No,Consumed
Morley,Oshi Oshi No Mi,Paramecia,Regular Paramecia,No,Consumed
Mouse gifter (chapter 808),Mouse SMILE,SMILE,Artificial Zoan,No,Consumed
Mouseman,Mouse SMILE,SMILE,Artificial Zoan,No,Consumed
Nico Robin,Hana Hana No Mi,Paramecia,Regular Paramecia,No,Consumed
Onigumo,(unnamed),Zoan,Regular Zoan,No,Consumed
Page One,"Ryu Ryu No Mi, Model: Spinosaurus",Zoan,Ancient Zoan,No,Consumed
Pandaman,Panda SMILE,SMILE,Artificial Zoan,No,Consumed
Pekoms,Kame Kame No Mi,Zoan,Regular Zoan,No,Consumed
Pell,"Tori Tori No Mi, Model: Falcon",Zoan,Regular Zoan,No,Consumed
Perona,Horo Horo No Mi,Paramecia,Regular Paramecia,No,Consumed
Pica,Ishi Ishi No Mi,Paramecia,Regular Paramecia,No,Consumed
Pierre,Uma Uma No Mi,Zoan,Regular Zoan,No,Consumed
Portgas D. Ace,Mera Mera No Mi,Logia,Regular Logia,No,Re-Consumed
Queen,"Ryu Ryu No Mi, Model: Brachiosaurus",Zoan,Ancient Zoan,No,Consumed
